batter,total_runs,balls_faced,innings,strike_rate,avg_runs_per_match
W Jaffer,130,129,8,100.78,16.25
WG Jacks,230,133,8,172.93,28.75
WP Saha,2934,2368,143,123.9,20.52
Washington Sundar,378,341,38,110.85,9.95
Y Nagar,285,271,20,105.17,14.25
Y Venugopal Rao,985,865,52,113.87,18.94
YBK Jaiswal,1607,1095,52,146.76,30.9
YK Pathan,3222,2334,153,138.05,21.06
YV Takawale,192,183,10,104.92,19.2
Yuvraj Singh,2754,2207,126,124.78,21.86
Z Khan,117,141,27,82.98,4.33
