bowler,runs_conceded,balls_bowled,wickets,matches,economy,bowling_avg,bowling_sr
P Awana,1046,774,43,33,8.11,24.33,18.0
P Kumar,3342,2637,102,119,7.6,32.76,25.85
P Negi,954,733,38,42,7.81,25.11,19.29
P Parameswaran,226,159,9,8,8.53,25.11,17.67
PC Valthaty,207,153,7,10,8.12,29.57,21.86
PJ Cummins,1976,1370,66,58,8.65,29.94,20.76
PJ Sangwan,1267,905,44,42,8.4,28.8,20.57
PP Chawla,5179,3895,201,191,7.98,25.77,19.38
PP Ojha,2399,1945,99,90,7.4,24.23,19.65
PV Tambe,866,674,28,33,7.71,30.93,24.07
PVD Chameera,442,297,11,13,8.93,40.18,27.0
PWH de Silva,758,557,36,26,8.17,21.06,15.47
Pankaj Singh,472,311,11,17,9.11,42.91,28.27
Parvez Rasool,273,200,4,11,8.19,68.25,50.0
R Ashwin,5435,4679,198,208,6.97,27.45,23.63
R Bhatia,2059,1661,82,91,7.44,25.11,20.26
R Dhawan,922,693,27,36,7.98,34.15,25.67
R McLaren,558,372,14,18,9.0,39.86,26.57
R Parag,307,181,5,21,10.18,61.4,36.2
R Rampaul,319,278,17,12,6.88,18.76,16.35
R Sai Kishore,259,191,13,10,8.14,19.92,14.69
R Sathish,233,144,6,14,9.71,38.83,24.0
R Sharma,1100,935,42,44,7.06,26.19,22.26
R Shepherd,260,133,6,8,11.73,43.33,22.17
R Shukla,217,130,7,7,10.02,31.0,18.57
R Tewatia,1117,866,36,52,7.74,31.03,24.06
R Vinay Kumar,3041,2186,127,104,8.35,23.94,17.21
RA Jadeja,4917,3895,169,211,7.57,29.09,23.05
RD Chahar,2165,1697,76,77,7.65,28.49,22.33
RE van der Merwe,515,455,25,21,6.79,20.6,18.2
RG Sharma,462,349,16,32,7.94,28.88,21.81
RJ Harris,1085,865,47,37,7.53,23.09,18.4
RP Meredith,621,415,21,18,8.98,29.57,19.76
RP Singh,2417,1874,100,82,7.74,24.17,18.74
RR Powar,538,443,15,26,7.29,35.87,29.53
RR Raje,214,144,7,10,8.92,30.57,20.57
RS Bopara,301,213,13,14,8.48,23.15,16.38
Rashid Khan,3340,2901,157,121,6.91,21.27,18.48
Rasikh Salam,341,207,9,11,9.88,37.89,23.0
Ravi Bishnoi,1861,1460,68,65,7.65,27.37,21.47
S Aravind,1057,788,48,38,8.05,22.02,16.42
S Badree,329,263,11,12,7.51,29.91,23.91
S Gopal,1358,1000,53,51,8.15,25.62,18.87
S Kaul,1772,1238,63,55,8.59,28.13,19.65
S Kaushik,304,210,6,10,8.69,50.67,35.0
S Ladda,225,141,5,9,9.57,45.0,28.2
S Lamichhane,297,211,14,9,8.45,21.21,15.07
S Nadeem,1800,1444,54,70,7.48,33.33,26.74
S Randiv,223,180,8,8,7.43,27.88,22.5
S Sandeep Warrier,257,176,8,10,8.76,32.12,22.0
S Sreesanth,1221,947,43,44,7.74,28.4,22.02
S Tyagi,304,220,6,14,8.29,50.67,36.67
SB Bangar,221,153,6,9,8.67,36.83,25.5
SB Jakati,1474,1101,50,57,8.03,29.48,22.02
SB Styris,278,222,9,11,7.51,30.89,24.67
SC Ganguly,370,280,12,20,7.93,30.83,23.33
SE Bond,225,191,9,8,7.07,25.0,21.22
SJ Srivastava,444,306,15,14,8.71,29.6,20.4
SK Raina,1139,930,30,69,7.35,37.97,31.0
SK Trivedi,1944,1557,73,75,7.49,26.63,21.33
SK Warne,1465,1223,60,54,7.19,24.42,20.38
SL Malinga,3486,2974,188,122,7.03,18.54,15.82
SM Curran,1924,1234,62,58,9.35,31.03,19.9
SM Pollock,307,280,13,13,6.58,23.62,21.54
SMSM Senanayake,211,195,9,8,6.49,23.44,21.67
SN Thakur,2908,1979,100,92,8.82,29.08,19.79
SP Narine,4672,4146,200,175,6.76,23.36,20.73
SR Watson,2742,2137,107,105,7.7,25.63,19.97
SS Cottrell,177,131,6,6,8.11,29.5,21.83
ST Jayasuriya,396,301,16,21,7.89,24.75,18.81
STR Binny,763,611,28,63,7.49,27.25,21.82
SW Tait,668,534,26,21,7.51,25.69,20.54
Sandeep Sharma,3758,2925,153,126,7.71,24.56,19.12
Shahbaz Ahmed,850,549,21,42,9.29,40.48,26.14
Shahid Afridi,237,185,9,10,7.69,26.33,20.56
Shakib Al Hasan,1864,1515,71,70,7.38,26.25,21.34
Shivam Mavi,958,687,33,32,8.37,29.03,20.82
Simarjeet Singh,265,193,10,10,8.24,26.5,19.3
Sohail Tanvir,275,265,24,11,6.23,11.46,11.04
Suyash Sharma,381,264,11,13,8.66,34.64,24.0
Swapnil Singh,241,165,7,14,8.76,34.43,23.57
T Natarajan,2001,1401,76,61,8.57,26.33,18.43
T Shamsi,185,120,3,5,9.25,61.67,40.0
T Thushara,164,144,10,6,6.83,16.4,14.4
TA Boult,3286,2428,128,103,8.12,25.67,18.97
TG Southee,1774,1262,57,54,8.43,31.12,22.14
TK Curran,432,252,13,13,10.29,33.23,19.38
TL Suman,198,152,7,11,7.82,28.29,21.71
TM Dilshan,368,275,5,25,8.03,73.6,55.0
TS Mills,349,218,11,10,9.61,31.73,19.82
TU Deshpande,1275,831,46,36,9.21,27.72,18.07
UT Yadav,4442,3190,163,147,8.35,27.25,19.57
Umar Gul,198,153,14,6,7.76,14.14,10.93
Umran Malik,785,519,31,26,9.08,25.32,16.74
V Kohli,371,264,5,26,8.43,74.2,52.8
V Pratap Singh,300,211,12,9,8.53,25.0,17.58
V Sehwag,236,138,6,15,10.26,39.33,23.0
V Shankar,344,258,12,22,8.0,28.67,21.5
VG Arora,598,418,20,20,8.58,29.9,20.9
VR Aaron,1527,1065,46,50,8.6,33.2,23.15
VRV Singh,549,371,16,18,8.88,34.31,23.19
VS Malik,268,212,6,13,7.58,44.67,35.33
VY Mahesh,511,359,22,17,8.54,23.23,16.32
Vijaykumar Vyshak,396,243,17,11,9.78,23.29,14.29
WD Parnell,968,758,40,33,7.66,24.2,18.95
WPUJC Vaas,364,288,22,13,7.58,16.55,13.09
Washington Sundar,1335,1064,39,58,7.53,34.23,27.28
Y Venugopal Rao,338,222,7,20,9.14,48.29,31.71
YA Abdulla,311,222,15,11,8.41,20.73,14.8
YK Pathan,1443,1184,46,82,7.31,31.37,25.74
YS Chahal,4681,3628,213,159,7.74,21.98,17.03
Yash Dayal,933,615,31,28,9.1,30.1,19.84
Yash Thakur,702,432,27,19,9.75,26.0,16.0
Yuvraj Singh,1091,882,39,73,7.42,27.97,22.62
Z Khan,2860,2276,119,99,7.54,24.03,19.13
